l2bn,l2ts,batchTimestamp,delay,batchPosterAddress,batchNumber,batchDataGas,l1BaseFeeWei
160375461,1702652038,1702650875,-1163,0xad8663715b08f41a3aec47cc,443611,1561696,58415493906
160375462,1702652038,1702650875,-1163,0xad8663715b08f41a3aec47cc,443612,1591118,58415493906
160375468,1702652038,1702651439,-599,0xad8663715b08f41a3aec47cc,443613,1503262,58195598030
160375469,1702652038,1702651439,-599,0xad8663715b08f41a3aec47cc,443614,1569662,58195598030
160375470,1702652038,1702651439,-599,0xad8663715b08f41a3aec47cc,443615,1603848,58195598030
160375471,1702652038,1702651439,-599,0xad8663715b08f41a3aec47cc,443616,1580586,58195598030
160375472,1702652038,1702651463,-575,0xad8663715b08f41a3aec47cc,443617,1584924,58855191145
160375473,1702652038,1702651463,-575,0xad8663715b08f41a3aec47cc,443618,1603390,58855191145
160375474,1702652038,1702651463,-575,0xad8663715b08f41a3aec47cc,443619,1607760,58855191145
160375475,1702652038,1702651463,-575,0xad8663715b08f41a3aec47cc,443620,1579846,58855191145
160375477,1702652039,1702651463,-576,0xad8663715b08f41a3aec47cc,443621,1578060,58855191145
160375478,1702652039,1702651463,-576,0xad8663715b08f41a3aec47cc,443622,1590512,58855191145
160375479,1702652039,1702651487,-552,0xad8663715b08f41a3aec47cc,443623,1591162,59307547108
160375480,1702652039,1702651487,-552,0xad8663715b08f41a3aec47cc,443624,1607508,59307547108
160375481,1702652039,1702651487,-552,0xad8663715b08f41a3aec47cc,443625,1593038,59307547108
160375482,1702652039,1702651487,-552,0xad8663715b08f41a3aec47cc,443626,1582140,59307547108
160377999,1702652668,1702652039,-629,0xad8663715b08f41a3aec47cc,443627,1622678,56271054201
160378000,1702652668,1702652039,-629,0xad8663715b08f41a3aec47cc,443628,1581940,56271054201
160378001,1702652668,1702652039,-629,0xad8663715b08f41a3aec47cc,443629,1604546,56271054201
160378002,1702652668,1702652039,-629,0xad8663715b08f41a3aec47cc,443630,1575252,56271054201
160378003,1702652668,1702652039,-629,0xad8663715b08f41a3aec47cc,443631,1608748,56271054201
160378004,1702652668,1702652039,-629,0xad8663715b08f41a3aec47cc,443632,1606320,56271054201
160378005,1702652668,1702652039,-629,0xad8663715b08f41a3aec47cc,443633,1592276,56271054201
160378006,1702652668,1702652039,-629,0xad8663715b08f41a3aec47cc,443634,1608510,56271054201
160378007,1702652668,1702652039,-629,0xad8663715b08f41a3aec47cc,443635,1573706,56271054201
160378008,1702652668,1702652147,-521,0xad8663715b08f41a3aec47cc,443636,1580002,58305156782
160378009,1702652668,1702652147,-521,0xad8663715b08f41a3aec47cc,443637,1603006,58305156782
160378010,1702652668,1702652147,-521,0xad8663715b08f41a3aec47cc,443638,1582594,58305156782
160378011,1702652668,1702652147,-521,0xad8663715b08f41a3aec47cc,443639,1583312,58305156782
